make[1] : on entre dans le répertoire « /home/jcmalapert/csvforwkt »
pip-licenses
 Name                           Version                       License
 Babel                          2.11.0                        BSD License
 Jinja2                         3.1.2                         BSD License
 MarkupSafe                     2.1.1                         BSD License
 PyYAML                         6.0                           MIT License
 Pygments                       2.13.0                        BSD License
 Sphinx                         4.3.1                         BSD License
 alabaster                      0.7.12                        BSD License
 appdirs                        1.4.4                         MIT License
 astroid                        2.6.6                         GNU Lesser General Public License v2 (LGPLv2)
 attrs                          22.2.0                        MIT License
 black                          20.8b1                        MIT License
 certifi                        2022.12.7                     Mozilla Public License 2.0 (MPL 2.0)
 cfgv                           3.3.1                         MIT License
 charset-normalizer             2.1.1                         MIT License
 click                          7.1.2                         BSD License
 coverage                       6.2                           Apache Software License
 csvforwkt                      0.1.dev12+gb999ad3.d20221224  GNU General Public License v3 (GPLv3)GNU Lesser General Public License v3 (LGPLv3)
 distlib                        0.3.6                         Python Software Foundation License
 docutils                       0.17.1                        BSD License; GNU General Public License (GPL); Public Domain; Python Software Foundation License
 filelock                       3.8.2                         The Unlicense (Unlicense)
 flake8                         4.0.1                         MIT License
 flit                           3.5.1                         BSD License
 flit-core                      3.5.1                         BSD License
 identify                       2.5.11                        MIT License
 idna                           3.4                           BSD License
 imagesize                      1.4.1                         MIT License
 iniconfig                      1.1.1                         MIT License
 isort                          5.11.4                        MIT License
 lazy-object-proxy              1.8.0                         BSD License
 mccabe                         0.6.1                         MIT License
 mypy                           0.910                         MIT License
 mypy-extensions                0.4.3                         MIT License
 nodeenv                        1.7.0                         BSD License
 numpy                          1.24.0                        BSD License
 packaging                      22.0                          Apache Software License; BSD License
 pandas                         1.5.2                         BSD License
 pathspec                       0.10.3                        Mozilla Public License 2.0 (MPL 2.0)
 platformdirs                   2.6.0                         MIT License
 pluggy                         1.0.0                         MIT License
 pre-commit                     2.16.0                        MIT License
 pre-commit-hooks               4.0.1                         MIT License
 pur                            5.4.2                         BSD License
 py                             1.11.0                        MIT License
 pycodestyle                    2.8.0                         MIT License
 pyflakes                       2.4.0                         MIT License
 pylint                         3.0.0a1                       GNU General Public License (GPL)
 pytest                         6.2.5                         MIT License
 pytest-html                    3.1.1                         Mozilla Public License 2.0 (MPL 2.0)
 pytest-metadata                2.0.4                         MPL-2.0
 python-dateutil                2.8.2                         Apache Software License; BSD License
 pytz                           2022.7                        MIT License
 regex                          2022.10.31                    Apache Software License
 requests                       2.28.1                        Apache Software License
 ruamel.yaml                    0.17.21                       MIT License
 ruamel.yaml.clib               0.2.7                         MIT License
 setuptools-scm                 6.3.2                         MIT License
 six                            1.16.0                        MIT License
 snowballstemmer                2.2.0                         BSD License
 sphinx-bootstrap-theme         0.8.0                         MIT License
 sphinx-rtd-theme               1.1.1                         MIT License
 sphinxcontrib-applehelp        1.0.2                         BSD License
 sphinxcontrib-devhelp          1.0.2                         BSD License
 sphinxcontrib-htmlhelp         2.0.0                         BSD License
 sphinxcontrib-jsmath           1.0.1                         BSD License
 sphinxcontrib-plantuml         0.24.1                        BSD License
 sphinxcontrib-qthelp           1.0.3                         BSD License
 sphinxcontrib-serializinghtml  1.1.5                         BSD License
 toml                           0.10.2                        MIT License
 tomli                          2.0.1                         MIT License
 tomli-w                        1.0.0                         MIT License
 tox                            3.24.4                        MIT License
 typed-ast                      1.5.4                         Apache License 2.0
 types-setuptools               57.4.4                        Apache Software License
 typing-extensions              4.4.0                         Python Software Foundation License
 urllib3                        1.26.13                       MIT License
 virtualenv                     20.17.1                       MIT License
 wrapt                          1.12.1                        BSD License
make[1] : on quitte le répertoire « /home/jcmalapert/csvforwkt »
